0,CombatZoneResize,241,226,406,391,TLPause,,,
0,CombatZoneSpeed,300,,,,,,,
0,HeartMaxFallSpeed,700,,,,,,,
0,heartmode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,SansAnimation,Idle,,,,,,,
0,sanssweat,1,,,,,,,
0,TLResume,,,,,,,,
0,SansHead,Tired1,,,,,,,
0,sanstext,I have died many times,,,,,,,
0,SansHead,noeyes,,,,,,,
0,sanstext,But you more,,,,,,,
0,SansHead,Default,,,,,,,
,,,,,,,,,
0.5,sansBody,HandDown,,,,,,,
0,sansslam,1,,,,,,,
0.2,BoneStab,1,29,0.1333,0.1,,,,
0,BoneStab,3,115,0.1333,0.1,,,,
0.4,sansBody,HandLeft,,,,,,,
0,sansslam,2,,,,,,,
0.2,BoneStab,2,29,0.1333,0.1,,,,
0,BoneStab,0,115,0.1333,0.1,,,,
0.4,BoneStab,1,70,0.1333,13.5,,,,
0,BoneStab,3,70,0.1333,13.5,,,,
0.4,BoneStab,2,5,0,0,,,,
0.08,BoneStab,2,10,0,0,,,,
0.08,BoneStab,2,15,0,0,,,,
0.08,BoneStab,2,20,0,0,,,,
0.08,BoneStab,2,25,0,0,,,,
0.08,BoneStab,2,30,0,0,,,,
0.08,BoneStab,2,35,0,0,,,,
0.08,BoneStab,2,40,0,0,,,,
0.08,BoneStab,2,45,0,0,,,,
0.08,BoneStab,2,50,0,0,,,,
0.08,BoneStab,2,55,0,0,,,,
0.08,BoneStab,2,60,0,0,,,,
0.05,heartmode,0,,,,,,,
0,sound,ding,,,,,,,
0,CombatZoneResize,241,236,406,381,,,,
0,CombatZoneSpeed,20,,,,,,,
0,SET,loop,15,,,,,,
0,SUB,loop,$loop,1,,,,,
0,SET,xiao,251,,,,,,
0,RND,jia,146,,,,,,
0,ADD,xiao,$xiao,$jia,,,,,
0,SET,xiao2,251,,,,,,
0,RND,jia2,146,,,,,,
0,ADD,xiao2,$xiao2,$jia2,,,,,
0,gasterblaster,0,0,0,$xiao,166,90,1,0
0.3666,gasterblaster,0,0,480,$xiao2,450,-90,1,0
0.3666,JMPNZ,42,$loop,,,,,,
3,DamagePlayer,-30,0,,,,,,
0,sound,heartsplit,1,,,,,,
0,EndAttack,,,,,,,,
